stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Ingolstadt,Ingolstadt,DE,371.2,20.8,,,89.0,36.0,,3.4,7.4,320.6,,very hard,2026,Ingolstädter Kommunalbetriebe (INKB),https://www.in-kb.de/Wasser/Trinkwasser/Qualit%C3%A4t/,18.0,18.0,,,2026,https://www.in-kb.de/Wasser/Trinkwasser/Qualit%C3%A4t/
Iserlohn,Iserlohn,DE,146.4,8.2,,,,,,,,110.7,river_bank,,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,6.2,6.2,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Jena,Jena,DE,,,3.2,30.2,,,,,7.5,,long_distance,varies by supply zone,2025,JenaWasser,https://www.jenawasser.de/fileadmin/inhalte/3_Trinkwasser/2025_Trinkwasserbeschaffenheit_alle_mit_Mibi.pdf,3.3,16.6,,,2025,https://www.jenawasser.de/fileadmin/inhalte/3_Trinkwasser/2025_Trinkwasserbeschaffenheit_alle_mit_Mibi.pdf
Kaiserslautern,Kaiserslautern,DE,,,4.1,5.5,,,,,8.13,,groundwater,varies by supply zone,2026,SWK Stadtwerke Kaiserslautern,https://www.swk-kl.de/wasser/wasserqualitaet,3.8,4.8,,,2026,https://www.swk-kl.de/wasser/wasserqualitaet
Karlsruhe,Karlsruhe,DE,326.6,18.3,,,114.2,10.2,3.6,12.7,7.22,273.8,groundwater,very hard,2025,Stadtwerke Karlsruhe,https://www.stadtwerke-karlsruhe.de/wMedia/docs/service/infomaterial/produkte/Trinkwasser-Jahresmittelwerte-KA.pdf,15.3,15.3,,,2026,https://www.stadtwerke-karlsruhe.de/wMedia/docs/service/infomaterial/produkte/Trinkwasser-Jahresmittelwerte-KA.pdf
Kassel,Kassel,DE,,,5.1,15.0,,,,,7.9,,,varies by supply zone,2026,KASSELWASSER,https://kasselwasser.de/trinkwasser/unser-wasser/wasserhaerte,,,4.0,10.5,,https://kasselwasser.de/trinkwasser/unser-wasser/wasserhaerte
Kiel,Kiel,DE,,,11.4,19.2,,,,,7.63,,groundwater,varies by supply zone,2026,Stadtwerke Kiel,https://www.stadtwerke-kiel.de/wasser/qualitaet,11.4,16.9,,,2026,https://www.stadtwerke-kiel.de/wasser/qualitaet
Koblenz,Koblenz,DE,,,,,,,,,,,,mittel / hart,2024,Vereinigte Wasserwerke Mittelrhein (evm),https://www.evm.de/privatkunden/rund-ums-haus/wasser/,,,,,,
Krefeld,Krefeld,DE,,,12.4,13.6,,,,,7.7,,groundwater,varies by supply zone,2025,SWK Stadtwerke Krefeld,https://cdn.swk.de/assets/download/NGN_Trinkwasser_Analyse_2025-neu-1.pdf,6.1,7.1,,,2025,https://cdn.swk.de/assets/download/NGN_Trinkwasser_Analyse_2025-neu-1.pdf
Leipzig,Leipzig,DE,,,8.0,17.5,,,,,7.7,,reservoir;long_distance,varies by supply zone,2025,Leipziger Wasserwerke,https://files.l.de/lde-typo3/Leipziger/Wasserwerke/Download-Center/Flyer_und_Broschueren/Wasserwerke-Jahresdurchschnittsanalyse-2025.pdf,3.0,4.8,,,2025,https://files.l.de/lde-typo3/Leipziger/Wasserwerke/Download-Center/Flyer_und_Broschueren/Wasserwerke-Jahresdurchschnittsanalyse-2025.pdf
Leverkusen,Leverkusen,DE,,,5.3,11.4,31.9,3.5,9.0,5.2,7.95,,reservoir,varies by supply zone,2026,Energieversorgung Leverkusen (EVL),https://evl-leverkusen.de/trinkwasser/,7.7,7.7,,,2026,https://evl-leverkusen.de/wp-content/uploads/2026/09/Wasseranalyse-2026-Currenta-Hitdorf.pdf
Ludwigshafen am Rhein,Ludwigshafen am Rhein,DE,,,9.9,13.4,,,,,7.11,,,varies by supply zone,2026,Technische Werke Ludwigshafen (TWL),https://www.twl.de/fileadmin/user_upload/twl/00_Content/01_Privatkunden/01_Meine_Energie/04_Wasser/Trinkwasseranalyse_Januar_2026_f%C3%BCr_Homepage_TWL.pdf,10.7,14.5,,,2023,https://www.twl.de/fileadmin/user_upload/twl/00_Content/01_Privatkunden/01_Meine_Energie/04_Wasser/01_Trinkwasser/230609Zj_Trinkwasseranalyse_fuer_Internet_Jahresmittel_2023.pdf
Lübeck,Lübeck,DE,,,11.1,16.3,,,,,,,,varies by supply zone,2026,Stadtwerke Lübeck,https://www.swhl.de/downloads/trinkwasserqualitaet-luebeck/,10.5,15.0,,,2026,https://a.swhl.de/f/187280/x/255b4d482c/2608-014_swl-trinkwasserqualitat-lubeck-2026_w1_bf.pdf?cv=1789999185619
Lünen,Lünen,DE,139.2,7.8,,,,,,,,116.0,river_bank,,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,6.5,6.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Magdeburg,Magdeburg,DE,255.2,14.3,,,91.5,6.6,2.7,,7.55,137.4,groundwater,very hard,2025,SWM Magdeburg,https://www.sw-magdeburg.de/privatkunden/produkte/trinkwasser/qualitaet,7.7,7.7,,,2026,https://www.sw-magdeburg.de/privatkunden/produkte/trinkwasser/qualitaet
Mainz,Mainz,DE,,,12.6,25.1,,,,,7.3,,,varies by supply zone,2026,Mainzer Netze,https://www.mainzer-netze.de/-/media/project/mainzer-stadtwerke/websites-mainzer-netze/mainzer-netze/dateien/ordnerstruktur-clean/g_s_w_weitere-infos/wasser/trinkwasserqualitaet/w_analysewerte-trinkwasser.pdf,9.6,14.4,,,2026,https://www.mainzer-netze.de/-/media/project/mainzer-stadtwerke/websites-mainzer-netze/mainzer-netze/dateien/ordnerstruktur-clean/g_s_w_weitere-infos/wasser/trinkwasserqualitaet/w_analysewerte-trinkwasser.pdf
Mannheim,Mannheim,DE,,,19.7,20.9,,,16.0,,7.32,,groundwater,varies by supply zone,2024,MVV Energie,https://www.mvv.de/fileadmin/user_upload_pk_gewk/pdf/Wasser/wasserqualitaet-kaefertal.pdf,15.2,16.7,,,2024,https://www.mvv.de/fileadmin/user_upload_pk_gewk/pdf/Wasser/wasserqualitaet-kaefertal.pdf
Moers,Moers,DE,235.6,13.2,,,74.3,12.3,16.6,19.1,7.74,134.4,groundwater,very hard,2026,ENNI Energie & Umwelt Niederrhein,https://www.enni.de/energie-und-wasser/wasser/trinkwasser/,7.5,7.5,,,2026,https://www.enni.de/fileadmin/documents/1_Privatkunden/1-Energie-und-Wasser/3-Wasser/Trinkwasser/wasseranalyse-Juni-2026.pdf
München,Munich,DE,282.0,15.8,13.9,17.9,78.0,20.9,6.5,5.9,7.56,273.1,spring;groundwater,very hard,2026,Stadtwerke München,https://www.swm.de/dam/doc/wasser/trinkwasser-analysewerte.pdf,12.2,17.4,,,2026,https://www.swm.de/dam/doc/wasser/trinkwasser-analysewerte.pdf
Münster,Munster,DE,,,11.0,16.9,,,,,7.4,,groundwater,varies by supply zone,2025,Stadtwerke Münster,https://www.stadtwerke-muenster.de/Stadtwerke/Dokumente/Trinkwasser/Trinkwasseranalytik.pdf,8.5,12.6,,,2025,https://www.stadtwerke-muenster.de/Stadtwerke/Dokumente/Trinkwasser/Trinkwasseranalytik.pdf
Mönchengladbach,Mönchengladbach,DE,,,12.1,14.9,,,,,7.87,,,varies by supply zone,2026,NEW,https://trinkwasseranalyse.new.de/,3.0,10.2,,,2026,https://trinkwasseranalyse.new.de/
Mülheim (Ruhr),Mülheim (Ruhr),DE,,,5.7,10.7,,,,,7.78,129.9,river_bank,varies by supply zone,2025,RWW Rheinisch-Westfälische Wasserwerksgesellschaft,https://www.rww.de/fileadmin/assets/pdf/twa_bot_mh_med.pdf,4.7,9.4,,,2025,https://www.rww.de/fileadmin/assets/pdf/twa_bot_mh_med.pdf
Neuss,Neuss,DE,,,14.7,15.4,,,,,,,groundwater,varies by supply zone,2026,Stadtwerke Neuss Energie und Wasser,https://www.stadtwerke-neuss.de/sites/default/files/downloads/pdfs/Energie-Privatkunden/Wasser/Trinkwasseranalyse-2026.pdf,10.7,13.2,,,2026,https://www.stadtwerke-neuss.de/sites/default/files/downloads/pdfs/Energie-Privatkunden/Wasser/Trinkwasseranalyse-2026.pdf
Nürnberg,Nuremberg,DE,,,9.5,13.6,58.0,14.0,,,7.64,,groundwater;spring,varies by supply zone,2026,N-ERGIE,https://www.n-ergie.de/public/remotemedien/media/n_ergie/internet/privatkunden/produkte/wasser_1/neugestaltung_seite/Trinkwasser-Analysewerte.pdf,7.2,11.8,,,2026,https://www.n-ergie.de/public/remotemedien/media/n_ergie/internet/privatkunden/produkte/wasser_1/neugestaltung_seite/Trinkwasser-Analysewerte.pdf
Oberhausen,Oberhausen,DE,,,5.7,14.1,,,,,7.78,192.8,river_bank,varies by supply zone,2025,RWW Rheinisch-Westfälische Wasserwerksgesellschaft,https://www.rww.de/trinkwasser/wasserqualitaet/trinkwasseranalysen,10.8,10.8,,,2026,https://www.rww.de/fileadmin/assets/pdf/trinkwasseranalyse_beek.pdf
Offenbach,Offenbach,DE,,,10.5,12.9,,,,,,,,varies by supply zone,2026,Zweckverband Wasserversorgung Stadt und Kreis Offenbach (ZWO),https://www.zwo-wasser.de/files/VG7.pdf,5.5,6.2,,,2026,https://www.zwo-wasser.de/files/VG7.pdf
Oldenburg,Oldenburg,DE,,,6.6,12.0,,,,,7.4,,,varies by supply zone,2026,VWG Oldenburg / EWE NETZ,https://www.ewe-netz.de/privatkunden/trinkwasser/ol,4.9,7.7,,,2025,https://www.ewe-netz.de/privatkunden/trinkwasser/ol
Osnabrück,Osnabrück,DE,,,6.5,18.4,,,,,7.65,,groundwater,varies by supply zone,2026,Stadtwerke Osnabrück,https://karten.swo-netz.de/trinkwasserhaerte/,2.8,14.6,,,2026,https://www.stadtwerke-osnabrueck.de/trinkwasser/wasserqualitaet/analysen/thiene
Paderborn,Paderborn,DE,,,5.7,17.1,,,,,,,,varies by supply zone,2026,Stadtwerke Paderborn,https://www.stadtwerke-pb.de/app/uploads/2026/07/SWPB_Trinkwasseranalyse_02_2026_BF.pdf,3.7,13.6,,,2026,https://www.stadtwerke-pb.de/app/uploads/2026/07/SWPB_Trinkwasseranalyse_02_2026_BF.pdf
Pforzheim,Pforzheim,DE,,,7.3,15.0,,,,,7.99,,,varies by supply zone,2026,Stadtwerke Pforzheim (SWP),https://www.stadtwerke-pforzheim.de/trinkwasser/trinkwasserqualitaet-und-preise/,6.0,12.2,,,2026,https://www.stadtwerke-pforzheim.de/trinkwasser/trinkwasserqualitaet-und-preise/
Potsdam,Potsdam,DE,,,10.6,20.5,,,,,,,,varies by supply zone,2025,Energie und Wasser Potsdam,https://www.swp-potsdam.de/content/wasser/pdf_8/aktuelle_trinkwasseranalyse.pdf,6.9,13.5,,,2025,https://www.swp-potsdam.de/content/wasser/pdf_8/aktuelle_trinkwasseranalyse.pdf
Recklinghausen,Recklinghausen,DE,201.7,11.3,,,73.0,4.8,11.6,19.0,7.55,149.9,,very hard,2025,Gelsenwasser,https://www.gelsenwasser.de/wasser/wasserhaerte/recklinghausen,8.4,8.4,,,2025,https://www.gelsenwasser.de/wasser/wasserhaerte/recklinghausen
Regensburg,Regensburg,DE,301.7,16.9,,,96.0,15.0,30.0,11.0,7.4,219.9,groundwater,very hard,2025,REWAG,https://www.rewag.de/fileadmin/user_upload/Produkte_Dienstleistungen/Wasser/Herkunft_Qualitaet/Chemische_Analyse_Oktober_2025.pdf,12.3,12.3,,,2026,https://www.rewag.de/fileadmin/user_upload/Produkte_Dienstleistungen/Wasser/Herkunft_Qualitaet/Chemische_Analyse_Oktober_2025.pdf
Remscheid,Remscheid,DE,91.0,5.1,,,31.0,3.5,7.0,5.4,,73.2,reservoir,moderately hard,2025,EWR Remscheid,https://www.ewr-remscheid.de/app/uploads/EWR_Trinkwasseranalyse_2025.pdf,4.1,4.1,,,2026,https://www.ewr-remscheid.de/app/uploads/EWR_Trinkwasseranalyse_2025.pdf
Reutlingen,Reutlingen,DE,,,9.1,18.8,,,,,7.99,129.9,lake;spring,varies by supply zone,2026,FairEnergie,https://www.fairenergie.de/wasser/trinkwasser.html,7.3,7.3,,,2026,https://www.fairenergie.de/fileadmin/user_upload/pdf/privatkunden/Trinkwasseranalyse_Bodenseewasser.pdf
Rostock,Rostock,DE,253.9,14.2,,,83.6,11.0,2.06,43.1,7.7,196.4,,very hard,2026,Nordwasser,https://www.nordwasser.de/trinkwasser/versorgung/trinkwasseranalyse-ww-rostock-1,11.0,11.0,,,2026,https://www.nordwasser.de/trinkwasser/versorgung/trinkwasseranalyse-ww-rostock-1
Saarbrücken,Saarbrücken,DE,,,4.8,14.0,,,,,7.69,,,varies by supply zone,2026,Stadtwerke Saarbrücken,https://www.saarbruecker-stadtwerke.de/media/download-5ce2a5f92c7ee,2.4,11.4,,,2026,https://www.saarbruecker-stadtwerke.de/media/download-5ce2a5f92c7ee
Salzgitter,Salzgitter,DE,,,3.3,6.3,,,,,,,reservoir;groundwater,varies by supply zone,2026,WEVG Salzgitter,https://www.vftv.de/wevg/anang2.htm,1.9,3.3,,,2026,https://www.vftv.de/wevg/anang1.htm
Siegen,Siegen,DE,75.1,4.2,,,,,,,,61.0,reservoir,moderately hard,2026,"Wasserverband Siegen-Wittgenstein (WVS), via SVB Siegen",https://wvs.nrw/wp-content/uploads/2026/05/AB-Dreis-Tiefenbach-Rein-TVO23-ohne-PFAS-20260121_W25-5072-0003.pdf,3.4,3.4,,,2026,https://wvs.nrw/wp-content/uploads/2026/05/AB-Dreis-Tiefenbach-Rein-TVO23-ohne-PFAS-20260121_W25-5072-0003.pdf
Soest,Soest,DE,128.5,7.2,,,,,,,,101.7,river_bank,,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,5.7,5.7,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Solingen,Solingen,DE,,,4.7,11.0,,,,,7.94,,reservoir,varies by supply zone,2025,Stadtwerke Solingen,https://solingen.de/uploads/EBW_Verbraucherinformation_Trinkwasserqualitaet_97b417b487.pdf,3.6,4.2,,,2025,https://solingen.de/uploads/EBW_Verbraucherinformation_Trinkwasserqualitaet_97b417b487.pdf
Stuttgart,Stuttgart,DE,,,9.1,13.3,,,,,8.2,,lake;long_distance,varies by supply zone,2025,Netze BW Wasser,https://www.netze-bw.de/unsernetz/trinkwasserstuttgart,7.1,10.2,,,2025,https://api.wasserportal.info/api/public/qualitaet/trinkwasseranalyse/96b68377-3f94-44da-b57d-a51896cc9ff6
Trier,Trier,DE,,,4.7,11.0,,,,,7.93,,reservoir,varies by supply zone,2025,SWT Stadtwerke Trier,https://www.swt.de/seite/faq-trinkwasser,4.1,8.3,,,2026,https://www.swt.de/api/media/file/Bericht%20Wasserwerk%20Irsch%20vom%2001.12.2025.pdf
Ulm,Ulm,DE,,,13.4,15.7,,,,,7.6,,,varies by supply zone,2025,Stadtwerke Ulm/Neu-Ulm (SWU),https://www.swu.de/fileadmin/content/energie-wasser/wasser/SWU-Trinkwasser-Analysedaten-2026.pdf,10.2,14.1,,,2026,https://www.swu.de/fileadmin/content/energie-wasser/wasser/SWU-Trinkwasser-Analysedaten-2026.pdf
Unna,Unna,DE,,,7.2,7.8,,,,,,,river_bank,varies by supply zone,2025,Wasserwerke Westfalen,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse,5.7,6.5,,,2025,https://www.wasserwerke-westfalen.de/wasser/trinkwasserqualitaet/trinkwasseranalyse
Wiesbaden,Wiesbaden,DE,,,1.7,19.4,,,,,7.45,,spring;groundwater;river_bank,varies by supply zone,2025,Wasserversorgungsbetriebe der Landeshauptstadt Wiesbaden (WLW),https://web.archive.org/web/2024/https://www.wlw-wiesbaden.de/wasser/wasserhaerte,1.3,14.2,,,2025,https://web.archive.org/web/20251219194746id_/https://www.eswe-versorgung.de/fileadmin/user_upload/dateien/wassernetz/Analyse-Ried.pdf
Wolfsburg,Wolfsburg,DE,141.0,7.9,,,51.3,3.3,0.6,24.0,7.5,121.4,groundwater,hard,2026,"LSW Energie, Wasser und Waerme",https://www.lsw.de/fileadmin/user_upload/Pr%C3%BCfbericht_Wolfsburg.pdf,6.8,6.8,,,2026,https://www.lsw.de/fileadmin/user_upload/Pr%C3%BCfbericht_Wolfsburg.pdf
Wuppertal,Wuppertal,DE,,,5.1,11.3,,,,,8.0,,reservoir;river_bank,varies by supply zone,2025,Stadt Wuppertal (WAW),https://www.wuppertal.de/microsite/wasserversorgung/medien/bindata/Trinkwasseranalyse-2025.pdf,4.1,6.1,,,2025,https://www.wuppertal.de/microsite/wasserversorgung/medien/bindata/Trinkwasseranalyse-2025.pdf
Würzburg,Würzburg,DE,,,38.2,42.7,,,,,7.08,,,varies by supply zone,2026,Würzburger Versorgungs- und Verkehrs-GmbH (WVV),https://www.wvv.de/trinkwasser/wuerzburg/,17.6,18.3,,,2026,https://www.wvv.de/trinkwasser/wuerzburg/index.html
Acheres,Acheres,FR,369.9,20.7,,,103.2,27.2,6.8,20.4,7.27,291.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,16.3,16.3,,,,
Aix-en-Provence,Aix-en-Provence,FR,178.1,10.0,,,63.1,5.0,0.6,13.7,8.1,157.5,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,8.8,8.8,,,,
Ajaccio,Ajaccio,FR,60.0,3.4,,,20.5,2.0,1.0,7.8,7.7,56.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,3.1,3.1,,,,
Amiens,Amiens,FR,301.0,16.9,,,108.0,6.3,32.2,12.2,7.2,249.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,14.0,14.0,,,,
Angers,Angers,FR,166.0,9.3,,,,,13.0,,7.6,119.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,6.7,6.7,,,,
Annecy,Annecy,FR,296.0,16.6,,,113.0,3.5,12.0,3.1,7.4,276.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,15.5,15.5,,,,
Antibes,Antibes,FR,402.3,22.5,,,105.1,33.9,14.2,15.2,7.18,314.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,17.6,17.6,,,,
Antony,Antony,FR,253.6,14.2,,,95.2,3.8,22.6,,7.4,188.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,10.5,10.5,,,,
Avignon,Avignon,FR,291.0,16.3,,,92.6,13.6,5.3,11.4,7.56,240.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,13.5,13.5,,,,
Besancon,Besancon,FR,244.0,13.7,,,92.6,3.3,4.4,3.1,7.6,228.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.8,12.8,,,,
Biarritz,Biarritz,FR,119.0,6.7,,,,,2.9,9.6,8.2,110.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,6.2,6.2,,,,
Bordeaux,Bordeaux,FR,188.0,10.5,,,66.0,5.1,2.0,24.0,7.5,188.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,10.5,10.5,,,,
Brest,Brest,FR,130.0,7.3,,,44.4,4.7,25.0,26.5,7.7,63.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,3.5,3.5,,,,
Caen,Caen,FR,241.0,13.5,,,87.5,5.5,33.7,19.4,7.3,173.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,9.7,9.7,,,,
Cannes,Cannes,FR,310.2,17.4,,,93.5,14.3,5.4,10.3,7.78,212.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.9,11.9,,,,
Castres,Castres,FR,117.0,6.6,,,39.4,4.5,4.9,4.8,8.0,116.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,6.5,6.5,,,,
Cergy,Cergy,FR,293.8,16.5,,,,,24.2,17.0,7.4,223.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.5,12.5,,,,
Chartres,Chartres,FR,207.1,11.6,,,,,37.8,9.2,7.5,153.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,8.6,8.6,,,,
Chateauroux,Chateauroux,FR,231.0,12.9,,,93.4,4.1,49.0,20.0,7.3,235.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,13.2,13.2,,,,
Chatou,Chatou,FR,195.7,11.0,,,67.1,6.8,13.6,,7.76,202.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.3,11.3,,,,
Cherbourg,Cherbourg,FR,132.0,7.4,,,40.4,6.4,21.3,16.9,8.1,102.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.7,5.7,,,,
Clermont-Ferrand,Clermont-Ferrand,FR,65.5,3.7,,,14.0,7.4,12.8,15.3,7.5,69.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,3.9,3.9,,,,
Dijon,Dijon,FR,267.0,15.0,,,96.6,5.2,11.0,2.6,7.6,269.2,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,15.1,15.1,,,,
Dreux,Dreux,FR,283.4,15.9,,,98.1,7.2,38.2,12.9,7.1,230.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.9,12.9,,,,
Fontainebleau,Fontainebleau,FR,244.7,13.7,,,91.8,3.7,19.6,8.9,7.1,214.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.0,12.0,,,,
Grenoble,Grenoble,FR,205.1,11.5,,,66.9,8.9,5.2,5.3,7.7,192.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,10.8,10.8,,,,
La Garenne-Colombes,La Garenne-Colombes,FR,168.7,9.5,,,57.6,6.0,25.8,,7.76,163.5,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,9.2,9.2,,,,
La Rochelle,La Rochelle,FR,277.0,15.5,,,,,29.0,16.0,7.2,247.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,13.8,13.8,,,,
Le Havre,Le Havre,FR,236.0,13.2,,,96.0,3.3,34.2,14.2,7.3,213.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,11.9,11.9,,,,
Le Mans,Le Mans,FR,298.0,16.7,,,108.0,3.9,17.0,16.1,7.7,226.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,12.7,12.7,,,,
Lille,Lille,FR,345.1,19.3,,,136.0,3.6,25.3,24.4,7.3,271.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,15.2,15.2,,,,
Limoges,Limoges,FR,100.0,5.6,,,39.0,0.6,3.4,12.0,8.1,87.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,4.9,4.9,,,,
Lorient,Lorient,FR,132.0,7.4,,,43.3,4.9,23.0,17.7,8.2,91.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.1,5.1,,,,
Lyon,Lyon,FR,186.7,10.5,,,65.8,5.4,4.6,6.6,7.6,167.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,9.4,9.4,,,,
Marseille,Marseille,FR,222.6,12.5,,,68.1,14.0,1.4,11.5,7.87,112.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,6.3,6.3,,,,
Metz,Metz,FR,192.0,10.8,,,66.0,6.4,8.4,,7.8,156.0,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,8.7,8.7,,,,
Montpellier,Montpellier,FR,321.7,18.0,,,112.7,9.7,5.3,20.2,7.4,284.5,,very hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,15.9,15.9,,,,
Mulhouse,Mulhouse,FR,106.0,5.9,,,33.0,5.7,17.0,9.2,6.8,77.0,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,4.3,4.3,,,,
Nancy,Nancy,FR,152.0,8.5,,,44.0,10.0,3.7,,8.0,85.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,4.8,4.8,,,,
Nantes,Nantes,FR,127.0,7.1,,,42.9,4.6,8.5,22.4,7.9,90.0,,hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,5.0,5.0,,,,
Nevers,Nevers,FR,116.4,6.5,,,,,6.8,9.2,7.62,106.5,,moderately hard,2026,"Hubeau, Ministère de la Santé (contrôle sanitaire)",https://hubeau.eaufrance.fr/page/api-qualite-eau-potable,6.0,6.0,,,,
