stadt,stadt_key,land,mg_l_caco3,dH,zone_min_dH,zone_max_dH,calcium_mg_l,magnesium_mg_l,nitrat_mg_l,natrium_mg_l,ph,karbonathaerte_mg_l_caco3,herkunft,band_international,stand,quelle,quelle_url,kh_min_dH,kh_max_dH,kh_berechnet_min_dH,kh_berechnet_max_dH,kh_stand,kh_quelle_url
Villach,Villach,AT,,,10.1,15.0,,,,,8.0,,spring,varies by supply zone,2026,"Stadt Villach, Wasserwerk",https://villach.at/getmedia/d36ffe1b-e3c9-43d6-b9c5-0015041990a7/26-02-17_EST_0003-Voll_1.pdf.aspx,9.8,13.0,,,2026,https://villach.at/getmedia/d36ffe1b-e3c9-43d6-b9c5-0015041990a7/26-02-17_EST_0003-Voll_1.pdf.aspx
Wels,Wels,AT,171.3,9.6,9.6,9.7,,,,,7.7,168.5,,hard,2026,eww ag,https://www.eww.at/fileadmin/user_upload/downloads/wasser/infomaterial/Agrolab-Pruefbefund-eww-Wasser.pdf,9.4,9.6,,,2026,https://www.eww.at/fileadmin/user_upload/downloads/wasser/infomaterial/Agrolab-Pruefbefund-eww-Wasser.pdf
Wiener Neustadt,Wiener Neustadt,AT,,,14.5,20.5,,,,,7.6,,,varies by supply zone,2026,"Stadt Wiener Neustadt, Wasserwerk",https://www.wiener-neustadt.at/files/drive/wrn/content/service/umwelt-abfall/Wasserwerk/a4_wasserwerte_hp_2026.pdf,11.7,15.1,,,2026,https://www.wiener-neustadt.at/files/drive/wrn/content/service/umwelt-abfall/Wasserwerk/a4_wasserwerte_hp_2026.pdf
Baden,Baden,CH,,,11.9,19.7,95.0,19.0,16.0,,7.4,,spring;groundwater,varies by supply zone,2025,Regionalwerke AG Baden,https://www.regionalwerke.ch/privat-geschaeftskunden/angebot/wasser,,,10.6,17.9,,https://www.regionalwerke.ch/fileadmin/dok/angbote/rwb_Wasserqualitaet_2025_BadenEnnetbadenTugiDaettwilRuetihof.pdf
Basel,Basel,CH,,,9.7,10.1,,,,,7.7,,river_bank;groundwater,varies by supply zone,2025,IWB,https://www.iwb.ch/klimadreh/ratgeber/sauberes-trinkwasser/welche-bestandteile-sind-im-trinkwasser,8.4,8.5,,,2025,https://www.iwb.ch/klimadreh/ratgeber/sauberes-trinkwasser/welche-bestandteile-sind-im-trinkwasser
Bern,Bern,CH,,,11.2,11.7,,,4.3,3.4,7.6,,groundwater,varies by supply zone,2021,Energie Wasser Bern (ewb),https://ewb.ch/media/docs/pdf/diverses/trinkwasseranalysen-2021-2025.pdf,9.7,11.2,,,2021,https://ewb.ch/media/docs/pdf/diverses/trinkwasseranalysen-2021-2025.pdf
Biel,Biel,CH,117.0,6.6,5.6,9.8,40.7,4.51,4.5,5.33,7.65,,lake,moderately hard,2025,Energie Service Biel/Bienne,https://trinkwasser.ch/de/versorger/735/energie-service-biel-esb/3240/default,,,5.6,5.6,,https://trinkwasser.ch/de/versorger/735/energie-service-biel-esb/3240/default
Fribourg,Fribourg,CH,280.0,15.7,15.1,16.8,85.0,18.0,9.0,7.0,,,groundwater;spring,very hard,2025,SINEF SA,https://trinkwasser.ch/de/versorger/1042/sinef-sa/3598/default,,,15.1,15.1,,https://trinkwasser.ch/de/versorger/1042/sinef-sa/3598/default
Genf,Geneva,CH,,,7.6,12.6,43.9,5.9,,9.4,8.16,,lake,varies by supply zone,2025,SIG (Services industriels de Genève),https://media.sig-ge.ch/documents/particuliers/eau/analyses_generales_eau_zone_1.pdf,5.3,12.0,,,2025,https://media.sig-ge.ch/documents/particuliers/eau/analyses_generales_eau_zone_1.pdf
Lausanne,Lausanne,CH,,,7.7,11.4,,,,,,,lake;spring,varies by supply zone,2025,"Ville de Lausanne, eauservice",https://www.lausanne.ch/vie-pratique/energies-et-eau/eau/qualite/reservoir-recherche.html,5.5,10.8,,,2025,https://www.lausanne.ch/vie-pratique/energies-et-eau/eau/qualite/reservoir-recherche.html
Luzern,Lucerne,CH,,,6.6,15.5,,,,,7.8,,lake;spring;groundwater,varies by supply zone,,ewl energie wasser luzern,https://www.ewl-luzern.ch/wasser/wasserqualitaet,5.8,15.0,,,,
Lugano,Lugano,CH,,,2.8,10.6,,,4.8,4.2,7.9,,spring;groundwater;lake,varies by supply zone,2026,Aziende Industriali di Lugano (AIL SA),https://www.cca-lab.ch/etichettatura-acqua-distribuita/,2.8,10.0,,,2026,https://www.cca-lab.ch/etichettatura-acqua-distribuita/
Neuchatel,Neuchatel,CH,189.0,10.6,8.3,13.2,61.3,6.7,5.9,3.3,7.8,190.8,spring;lake,very hard,2025,Viteos SA,https://www.viteos.ch/wp-content/uploads/O_Qualite_2025_Ne.pdf,10.7,10.7,,,2024,https://www.viteos.ch/wp-content/uploads/2024_Oqualite_VdN.pdf
